lat,long,date,time,region
14.1295,120.9332,23/10/2024,12:00:00,Cavite
14.3656,121.387,22/10/2024,12:00:00,Laguna
14.4084,121.4052,24/10/2024,14:15:00,Laguna
14.527,121.4373,24/10/2024,21:38:00,Laguna
13.7142,121.0645,23/10/2024,06:50:00,Batangas
14.6187,121.1405,24/10/2024,08:00:00,Rizal
14.6296,121.1202,24/10/2024,08:00:00,Rizal
13.8937,122.454,23/10/2024,08:00:00,Quezon
14.3656,121.6596,23/10/2024,14:00:00,Quezon
13.6214,122.5185,23/10/2024,18:00:00,Quezon
13.0965,121.3455,21/10/2024,14:00:00,Oriental Mindoro
14.2898,122.6917,23/10/2024,12:00:00,Camarines Norte
7.0965,121.9032,22/10/2024,03:30:00,Zamboanga Peninsula
17.1677,121.8972,20/11/2024,02:00:00,Isabela
16.4792,121.0457,17/11/2024,23:00:00,Nueva Vizcaya
16.9919,121.1694,11/11/2024,13:00:00,Ifugao
16.6486,121.0932,17/11/2024,20:40:00,Ifugao
17.5031,121.2347,12/11/2024,10:15:00,Kalinga
17.0469,120.9358,11/11/2024,16:45:00,Mountain Province
14.2201,121.7464,05/01/2023,16:49:00,Quezon
14.8436,121.9694,05/01/2023,07:00:00,Quezon
14.4321,121.214,04/01/2023,10:00:00,Rizal
12.6714,121.3914,16/01/2023,09:00:00,Oriental Mindoro
13.5283,121.8681,21/01/2023,13:01:00,Marinduque
14.2757,122.6781,05/01/2023,09:10:00,Camarines Norte
14.2894,122.6692,05/01/2023,09:27:00,Camarines Norte
14.284,122.7127,05/01/2023,08:50:00,Camarines Norte
14.2991,122.7001,05/01/2023,09:49:00,Camarines Norte
13.514,123.3809,19/01/2023,12:04:00,Camarines Sur
13.4721,123.5262,16/01/2023,12:30:00,Camarines Sur
13.8785,123.671,17/01/2023,15:30:00,Camarines Sur
13.776,123.5175,20/01/2023,11:34:00,Camarines Sur
13.7299,123.5921,20/01/2023,07:00:00,Camarines Sur
13.7112,123.6531,18/01/2023,18:00:00,Camarines Sur
13.6892,123.8126,21/01/2023,09:00:00,Camarines Sur
13.771,123.7502,17/01/2023,21:03:00,Camarines Sur
13.7101,123.7428,29/01/2023,21:35:00,Camarines Sur
13.5405,123.578,06/01/2023,07:00:00,Camarines Sur
13.9229,123.3342,20/01/2023,14:00:00,Camarines Sur
13.8322,124.3986,14/01/2023,06:00:00,Catanduanes
12.1546,123.9052,13/01/2023,15:30:00,Masbate
12.8693,124.131,27/01/2023,08:00:00,Sorsogon
12.8809,124.06,27/01/2023,06:00:00,Sorsogon
12.8737,124.0076,13/01/2023,07:00:00,Sorsogon
12.8751,124.0476,14/01/2023,07:20:00,Sorsogon
12.857,123.9581,13/01/2023,05:00:00,Sorsogon
12.8443,123.9441,13/01/2023,05:00:00,Sorsogon
12.7813,123.9179,20/01/2023,07:00:00,Sorsogon
12.6,124.0757,21/01/2023,08:43:00,Sorsogon
12.9903,123.8887,13/01/2023,10:37:00,Sorsogon
10.9603,122.6707,11/01/2023,16:00:00,Iloilo
10.7087,123.0696,11/01/2023,10:00:00,Negros Occidental
10.7383,123.1829,13/01/2023,10:00:00,Negros Occidental
9.8439,124.4318,11/01/2023,18:00:00,Bohol
9.8089,124.4541,11/01/2023,15:00:00,Bohol
12.4487,124.616,10/01/2023,19:08:00,Northern Samar
11.5855,125.3918,13/01/2023,16:00:00,Eastern Samar
8.041,124.8219,13/01/2023,17:00:00,Bukidnon
7.8175,126.1113,07/01/2023,08:52:00,Davao de Oro
7.8175,126.1113,23/01/2023,07:32:00,Davao de Oro
7.4009,126.0264,14/01/2023,04:00:00,Davao de Oro
7.4178,126.0526,08/01/2023,11:54:00,Davao de Oro
7.3773,126.0266,24/01/2023,21:08:00,Davao de Oro
7.4149,125.9845,25/01/2023,11:28:00,Davao de Oro
7.4117,126.112,25/01/2023,14:50:00,Davao de Oro
7.3866,126.1134,25/01/2023,09:25:00,Davao de Oro
7.3678,126.1487,25/01/2023,22:57:00,Davao de Oro
7.5088,125.9207,24/01/2023,22:56:00,Davao de Oro
7.4858,125.9097,27/01/2023,21:42:00,Davao de Oro
7.5429,126.074,25/01/2023,05:54:00,Davao de Oro
6.1068,124.4669,14/01/2023,00:00:00,Sarangani
20.4336,121.9598,08/11/2024,05:00:00,Batanes
18.128,121.579,30/09/2024,06:00:00,Cagayan
7.7026,126.2305,16/01/2024,08:30:00,Davao Oriental
7.6844,126.1114,16/01/2024,04:00:00,Davao de Oro
7.9783,125.8528,16/01/2024,07:00:00,Davao de Oro
7.8899,125.7733,15/01/2024,20:00:00,Davao de Oro
7.9668,125.7551,15/01/2024,22:05:00,Davao de Oro
7.909,125.795,16/01/2024,06:06:00,Davao de Oro
7.8966,125.9003,16/01/2024,10:08:00,Davao de Oro
7.8805,125.7036,17/01/2024,13:25:00,Davao de Oro
7.8516,125.759,18/01/2024,10:00:00,Davao de Oro
7.7509,125.8158,19/01/2024,16:00:00,Davao de Oro
7.294,126.1039,18/01/2024,19:40:00,Davao de Oro
7.3594,126.1518,18/01/2024,17:00:00,Davao de Oro
7.3182,126.0779,18/01/2024,21:00:00,Davao de Oro
7.3411,126.2278,18/01/2024,15:00:00,Davao de Oro
7.8232,126.1769,16/01/2024,11:50:00,Davao de Oro
7.8232,126.1769,18/01/2024,09:00:00,Davao de Oro
7.8232,126.1769,18/01/2024,12:13:00,Davao de Oro
7.824,126.034,16/01/2024,07:40:00,Davao de Oro
7.824,126.034,16/01/2024,07:00:00,Davao de Oro
7.8889,126.0797,16/01/2024,04:00:00,Davao de Oro
7.7592,126.0093,15/01/2024,06:30:00,Davao de Oro
7.7331,125.9659,16/01/2024,11:00:00,Davao de Oro
7.7547,125.9505,16/01/2024,13:21:00,Davao de Oro
7.7547,125.9505,19/01/2024,10:00:00,Davao de Oro
7.7276,125.992,18/01/2024,15:00:00,Davao de Oro
7.3306,126.5158,17/01/2024,04:55:00,Davao Oriental
7.4256,126.491,18/01/2024,07:00:00,Davao Oriental
7.4022,126.5511,15/01/2024,05:05:00,Davao Oriental
6.5478,125.3874,18/01/2024,18:00:00,Davao del Sur
16.3782,121.1145,14/09/2024,17:00:00,Nueva Vizcaya
16.525,121.028,18/09/2024,18:06:00,Nueva Vizcaya
16.3793,120.9772,18/09/2024,15:24:00,Nueva Vizcaya
14.4774,121.19,17/09/2024,08:00:00,Rizal
16.224,120.4506,03/09/2024,17:00:00,La Union
14.8753,120.1848,04/09/2024,14:25:00,Zambales
14.3178,121.0249,01/09/2024,19:23:00,Cavite
14.3156,121.0144,02/09/2024,08:44:00,Cavite
14.3275,121.0272,02/09/2024,11:35:00,Cavite
14.6332,121.1383,02/09/2024,10:00:00,Rizal
14.6296,121.1202,02/09/2024,17:00:00,Rizal
14.5861,121.1822,02/09/2024,07:59:00,Rizal
12.6672,123.9858,04/09/2024,13:00:00,Sorsogon
11.8567,122.0464,04/09/2024,03:15:00,Aklan
17.1452,120.5291,22/07/2024,19:30:00,Ilocos Sur
16.846255,120.4843,23/07/2024,17:10:00,La Union
16.846255,120.4843,24/07/2024,16:15:00,La Union
16.846255,120.4843,24/07/2024,22:28:00,La Union
16.8504,120.5527,23/07/2024,17:00:00,Ilocos Sur
14.5743502,121.14904,23/07/2024,20:17:00,Rizal
14.57439,121.131,24/07/2024,09:00:00,Rizal
14.57439,121.131,24/07/2024,11:30:00,Rizal
14.5772,121.1336,24/07/2024,03:46:00,Rizal
14.5861,121.1822,24/07/2024,05:00:00,Rizal
14.576,121.1714,24/07/2024,08:26:00,Rizal
14.5814354,121.1992008,25/07/2024,00:01:00,Rizal
14.6317528,121.14771,24/07/2024,08:15:00,Rizal
14.7056049,121.2484,24/07/2024,17:05:00,Rizal
9.2519,122.8749,13/07/2024,01:00:00,Negros Oriental
6.9971,121.9506,12/07/2024,15:00:00,Zamboanga Peninsula
7.7541,123.1157,12/07/2024,17:15:00,Zamboanga del Sur
5.4239,125.3801,13/07/2024,13:00:00,Davao Occidental
7.1558,125.7542,20/07/2024,22:00:00,Davao del Norte
8.48956,8.48956,13/07/2024,17:39:00,Nasarawa State
9.7457,125.3973,17/07/2024,15:00:00,Surigao del Norte
7.7853,124.6808,12/07/2024,21:00:00,Lanao del Sur
14.1479,121.5927,26/05/2024,11:53:00,Quezon
14.192,121.7333,26/05/2024,17:57:00,Quezon
14.1081,121.6887,26/05/2024,18:15:00,Quezon
14.56389,121.14444,26/05/2024,08:45:00,Rizal
11.7453,125.4275,24/05/2024,10:00:00,Eastern Samar
11.1895,125.3595,25/05/2024,00:00:00,Eastern Samar
7.8222,126.0528,29/01/2024,12:20:00,Davao de Oro
7.8222,126.0528,31/01/2024,13:03:00,Davao de Oro
7.8232,126.1769,31/01/2024,13:31:00,Davao de Oro
7.7914,126.0241,29/01/2024,08:00:00,Davao de Oro
7.7474,126.0533,31/01/2024,17:50:00,Davao de Oro
7.9285,126.0766,03/02/2024,08:30:00,Davao de Oro
7.5075,126.102,31/01/2024,15:00:00,Davao de Oro
7.3911,125.975,31/01/2024,11:00:00,Davao de Oro
7.2757,126.1169,31/01/2024,09:00:00,Davao de Oro
7.5621,125.9279,31/01/2024,10:00:00,Davao de Oro
7.238,126.1248,31/01/2024,03:00:00,Davao de Oro
7.2641,126.0889,02/02/2024,14:00:00,Davao de Oro
7.8501,125.7249,02/02/2024,08:00:00,Davao de Oro
7.2721,125.984,31/01/2024,12:30:00,Davao de Oro
7.2721,125.984,31/01/2024,15:34:00,Davao de Oro
7.8266,126.4012,29/01/2024,23:00:00,Davao Oriental
7.8266,126.4012,30/01/2024,06:53:00,Davao Oriental
7.8694,126.3755,29/01/2024,10:52:00,Davao Oriental
7.9105,126.3509,31/01/2024,14:50:00,Davao Oriental
7.1568,126.159,31/01/2024,10:01:00,Davao Oriental
6.9928,126.1146,31/01/2024,03:00:00,Davao Oriental
7.1552,126.1627,31/01/2024,15:00:00,Davao Oriental
7.0815,126.1764,30/01/2024,19:58:00,Davao Oriental
7.0815,126.1764,31/01/2024,14:32:00,Davao Oriental
6.9523,126.1125,31/01/2024,07:03:00,Davao Oriental
6.9356,126.1826,30/01/2024,21:53:00,Davao Oriental
6.9577,126.2071,01/02/2024,10:16:00,Davao Oriental
7.0097,126.3196,30/01/2024,22:23:00,Davao Oriental
7.3186,125.2738,01/02/2024,22:57:00,Davao Region
8.0211,126.1614,31/01/2024,16:28:00,Agusan del Sur
8.0445,126.063,29/01/2024,09:30:00,Agusan del Sur
7.989,126.1814,02/01/2024,07:50:00,Davao Oriental
8.0403,126.1334,02/01/2024,13:59:00,Agusan del Sur
8.0101,126.1242,02/02/2024,08:42:00,Agusan del Sur
8.0189,126.0933,02/02/2024,08:42:00,Agusan del Sur
8.0274,125.8927,01/02/2024,08:00:00,Agusan del Sur
8.024,125.6215,01/02/2024,18:00:00,Agusan del Sur
8.4933,125.7312,30/01/2024,08:15:00,Agusan del Sur
8.4993,125.7367,01/02/2024,02:25:00,Agusan del Sur
8.8599,125.5892,01/02/2024,12:30:00,Caraga
8.5559,126.0836,01/02/2024,09:00:00,Surigao del Sur
7.4086,126.1287,18/12/2023,09:00:00,Davao de Oro
7.3411,126.2278,19/12/2023,04:00:00,Davao de Oro
7.6844,126.1114,18/12/2023,12:30:00,Davao de Oro
14.1219,121.7418,15/11/2023,14:48:00,Quezon
14.1286,121.7326,15/11/2023,14:48:00,Quezon
14.1088,121.753,15/11/2023,16:49:00,Quezon
12.9172,124.1116,19/11/2023,14:30:00,Sorsogon
12.8578,124.1433,21/11/2023,14:30:00,Sorsogon
14.3198,122.5422,14/11/2023,08:00:00,Camarines Norte
14.2965,122.4713,15/11/2023,12:00:00,Camarines Norte
